database	pathway	gene
position	chr10p11	SVIL-AS1
position	chr10p11	PTCHD3P1
position	chr10p11	SVIL
position	chr10p11	MIR604
position	chr10p11	MIR938
position	chr10p11	CKS1BP2
position	chr10p11	RNU6-908P
position	chr10p11	JCAD
position	chr10p11	RNU6-598P
position	chr10p11	EEF1A1P39
position	chr10p11	MTPAP
position	chr10p11	DNM1P17
position	chr10p11	GOLGA2P6
position	chr10p11	RN7SL241P
position	chr10p11	MIR7162
position	chr10p11	NIFKP1
position	chr10p11	CCND3P1
position	chr10p11	MAP3K8
position	chr10p11	HNRNPA1P32
position	chr10p11	RN7SL63P
position	chr10p11	LYZL2
position	chr10p11	SVIL2P
position	chr10p11	LINC02644
position	chr10p11	ZNF438
position	chr10p11	DDX10P1
position	chr10p11	LINC02664
position	chr10p11	ZEB1-AS1
position	chr10p11	RNA5SP309
position	chr10p11	ZEB1
position	chr10p11	SPTLC1P1
position	chr10p11	MACORIS
position	chr10p11	ARHGAP12
position	chr10p11	HMGB1P7
position	chr10p11	RPL34P19
position	chr10p11	RN7SL825P
position	chr10p11	KIF5B
position	chr10p11	RPS4XP11
position	chr10p11	RNU7-22P
position	chr10p11	PPIAP31
position	chr10p11	RPS24P13
position	chr10p11	EPC1
position	chr10p11	RNU6-1244P
position	chr10p11	CCDC7
position	chr10p11	C1DP1
position	chr10p11	ITGB1
position	chr10p11	AK3P5
position	chr10p11	ITGB1-DT
position	chr10p11	MTND4LP11
position	chr10p11	RN7SL847P
position	chr10p11	RPL7AP53
position	chr10p11	IATPR
position	chr10p11	NRP1
position	chr10p11	RN7SL398P
position	chr10p11	LINC02628
position	chr10p11	LINC00838
position	chr10p11	RPL23P11
position	chr10p11	LINC02629
position	chr10p11	PARD3
position	chr10p11	ELOBP4
position	chr10p11	RPL37P18
position	chr10p11	RPS12P16
position	chr10p11	PARD3-AS1
position	chr10p11	SS18L2P1
position	chr10p11	RNU6-847P
position	chr10p11	RNU6-193P
position	chr10p11	PRDX2P2
position	chr10p11	LINC02635
position	chr10p11	CUL2
position	chr10p11	MIR3611
position	chr10p11	CREM
position	chr10p11	RNU7-77P
position	chr10p11	ATP6V1G1P4
position	chr10p11	LINC02634
position	chr10p11	RNU6-794P
position	chr10p11	CCNY
position	chr10p11	RNU6-1167P
position	chr10p11	GJD4
position	chr10p11	FZD8
position	chr10p11	MIR4683
position	chr10p11	RPL7P37
position	chr10p11	PCAT5
position	chr10p11	LINC02630
position	chr10p11	MTND5P17
position	chr10p11	MTND4P18
position	chr10p11	NAMPTP1
position	chr10p11	MKNK2P1
