interactor_A	interactor_B	confidence_value
Thoc7	Thoc5	0.999
Ndufa7	Ndufa6	0.999
Ndufa12	Ndufa6	0.999
Ndufa5	Ndufa6	0.999
Arpc1b	Arpc3	0.999
Phf5a	Lsm3	0.999
Snrpf	Lsm3	0.999
Fos	Jun	0.999
Arpc1b	Arpc4	0.999
Arpc3	Arpc4	0.999
Ndufa6	Ndufs3	0.999
Ndufa5	Ndufs3	0.999
Ncstn	Psen1	0.999
Ndufa6	Ndufb9	0.999
Ndufa12	Ndufb9	0.999
Ndufs3	Ndufb9	0.999
Ndufa5	Ndufb9	0.999
Cct8	Cct4	0.999
Pcsk9	Ldlr	0.999
Polr3b	Polr3a	0.999
Cdc73	Leo1	0.999
Polr2j	Polr2k	0.999
Psmd2	Psmc5	0.999
Psmd12	Psmc5	0.999
Psma3l	Psmc5	0.999
Psmc1	Psmc5	0.999
Psma6	Psmc5	0.999
Psmb1	Psmc5	0.999
Psmc6	Psmc5	0.999
Psmd6	Psmc5	0.999
Igf1	Igfbp4	0.999
Rps6kb1	Mtor	0.999
Rptor	Mtor	0.999
Gosr2	Bet1	0.999
Rpl24	LOC100360057	0.999
Rpl26	LOC100360057	0.999
Rpl15	LOC100360057	0.999
Polr2k	Polr2f	0.999
Polr2j	Polr2f	0.999
Ppp2ca	Ppp2r1a	0.999
Ndufs3	Ndufs4	0.999
Ndufa6	Ndufs4	0.999
Ndufa12	Ndufs4	0.999
Ndufa5	Ndufs4	0.999
Ndufb9	Ndufs4	0.999
Mcm4	Orc5	0.999
Orc4	Orc5	0.999
Orc3	Orc5	0.999
Flt4	Vegfc	0.999
Rab11fip2	Rab11a	0.999
Psma6	Psmb2	0.999
Psmc6	Psmb2	0.999
Psmc5	Psmb2	0.999
Psmc1	Psmb2	0.999
Psmd12	Psmb2	0.999
Psmd6	Psmb2	0.999
Psmd2	Psmb2	0.999
Psmb1	Psmb2	0.999
Psma3l	Psmb2	0.999
Psmc1	Psmc3	0.999
Psma6	Psmc3	0.999
Psmb1	Psmc3	0.999
Psmd2	Psmc3	0.999
Psmc5	Psmc3	0.999
Psmd6	Psmc3	0.999
Psmc6	Psmc3	0.999
Psmb2	Psmc3	0.999
Psma3l	Psmc3	0.999
Psmd12	Psmc3	0.999
Ndufs3	Ndufs1	0.999
Ndufs4	Ndufs1	0.999
Cct8	Cct5	0.999
Cct4	Cct5	0.999
Atp6v1d	Atp6v1b2	0.999
Psma6	Psma1	0.999
Psmb1	Psma1	0.999
Psma3l	Psma1	0.999
Psmb2	Psma1	0.999
Psmc6	Psma1	0.999
Ndufa5	Ndufb5	0.999
Ndufa6	Ndufb5	0.999
Ndufb9	Ndufb5	0.999
Ndufs4	Ndufb5	0.999
Ndufs3	Ndufb5	0.999
Ndufa12	Ndufb5	0.999
Ndufb5	Ndufb3	0.999
Smc4	Ncaph	0.999
Rpl15	Rps3a	0.999
LOC100911372	Rps3a	0.999
Grb2	Gab2	0.999
Col1a1	NEWGENE_621351	0.999
Psmc5	Psmc2	0.999
Psmd12	Psmc2	0.999
Psmc6	Psmc2	0.999
Psmb2	Psmc2	0.999
Psmc3	Psmc2	0.999
Psma3l	Psmc2	0.999
Psmb1	Psmc2	0.999
Psma6	Psmc2	0.999
Psmd6	Psmc2	0.999
Psmd2	Psmc2	0.999
Psmc1	Psmc2	0.999
Exosc2	Exosc4	0.999
Ndufb5	Ndufc2	0.999
Ndufa5	Ndufc2	0.999
Ndufa6	Ndufc2	0.999
Exosc2	Exosc3	0.999
Exosc4	Exosc3	0.999
Tex10	Wdr18	0.999
Snrpb2	Snrpa1	0.999
Psmc5	Psmb7	0.999
Psma6	Psmb7	0.999
Psmc2	Psmb7	0.999
Psmd12	Psmb7	0.999
Psmb1	Psmb7	0.999
Psmb2	Psmb7	0.999
Psma3l	Psmb7	0.999
Psmc6	Psmb7	0.999
Tsc2	Tsc1	0.999
Crhr1	Crh	0.999
Crhr2	Crh	0.999
Ndufa12	Ndufv2	0.999
Ndufb5	Ndufv2	0.999
Ndufs1	Ndufv2	0.999
Ndufs4	Ndufv2	0.999
Ndufa5	Ndufv2	0.999
Ndufs3	Ndufv2	0.999
Ndufb9	Ndufv2	0.999
Ndufa6	Ndufv2	0.999
Snf8	Vps36	0.999
Mcm6	Mcm3	0.999
Mcm7	Mcm3	0.999
Mcm4	Mcm3	0.999
Nup54	Nup58	0.999
Mrpl13	Mrpl3	0.999
Eif3l	Eif3m	0.999
Casc3	Magoh	0.999
Bms1	Rrp9	0.999
Nop56	Rrp9	0.999
Utp18	Rrp9	0.999
Prkab1	Prkaa1	0.999
Apaf1	Casp9	0.999
Psmc6	Psmb5	0.999
Psmc2	Psmb5	0.999
Psma1	Psmb5	0.999
Psmc5	Psmb5	0.999
Psma6	Psmb5	0.999
Psmd12	Psmb5	0.999
Psmc3	Psmb5	0.999
Psmc1	Psmb5	0.999
Psma3l	Psmb5	0.999
Psmb2	Psmb5	0.999
Psmb1	Psmb5	0.999
Prim2	Pola1	0.999
Polr2f	Polr2e	0.999
Psmb1	Psma4	0.999
Psmc5	Psma4	0.999
Psma3l	Psma4	0.999
Psmd12	Psma4	0.999
Psmb5	Psma4	0.999
Psmd6	Psma4	0.999
Psmc2	Psma4	0.999
Psmc1	Psma4	0.999
Psmc3	Psma4	0.999
Psmb7	Psma4	0.999
Psma1	Psma4	0.999
Psmc6	Psma4	0.999
Psmd2	Psma4	0.999
Psmb2	Psma4	0.999
Psma6	Psma4	0.999
Crebbp	Creb1	0.999
Sdhb	Sdha	0.999
Sdhc	Sdha	0.999
Irak4	Myd88	0.999
Traf6	Myd88	0.999
Cog3	Cog6	0.999
Sec61b	Sec61a1	0.999
Nuf2	Ndc80	0.999
Lsm3	Snrpd1	0.999
Phf5a	Snrpd1	0.999
Snrpf	Snrpd1	0.999
Orc1	Cdt1	0.999
Ift74	Ift46	0.999
Ndufs3	Ndufb8	0.999
Ndufa6	Ndufb8	0.999
Ndufa5	Ndufb8	0.999
Ndufb9	Ndufb8	0.999
Pwp2	Utp6	0.999
Utp18	Utp6	0.999
Bms1	Utp6	0.999
Rrp9	Utp6	0.999
Psma4	Psmd7	0.999
Psmd2	Psmd7	0.999
Psmb2	Psmd7	0.999
Psmb1	Psmd7	0.999
Psma6	Psmd7	0.999
Psmc6	Psmd7	0.999
Psmb5	Psmd7	0.999
Psmc3	Psmd7	0.999
Psmd12	Psmd7	0.999
Psmc5	Psmd7	0.999
Psmc1	Psmd7	0.999
Psmd6	Psmd7	0.999
Psmc2	Psmd7	0.999
Psma3l	Psmd7	0.999
Phf5a	Sf3b1	0.999
Arpc3	Arpc2	0.999
Arpc4	Arpc2	0.999
Igf1	Igf1r	0.999
Ednrb	Edn1	0.999
Cct8	Tcp1	0.999
Cct4	Tcp1	0.999
Cct5	Tcp1	0.999
Rad21	Smc3	0.999
Pggt1b	Fnta	0.999
Fntb	Fnta	0.999
Ndufa6	Ndufb10	0.999
Ndufb5	Ndufb10	0.999
Ndufb9	Ndufb10	0.999
Ndufs3	Ndufb10	0.999
Psma4	Psmd13	0.999
Psmc2	Psmd13	0.999
Psmd7	Psmd13	0.999
Psmc5	Psmd13	0.999
Psmb7	Psmd13	0.999
Psmc1	Psmd13	0.999
Psmc6	Psmd13	0.999
Psmd2	Psmd13	0.999
Psma6	Psmd13	0.999
Psmb1	Psmd13	0.999
Psmc3	Psmd13	0.999
Psmd6	Psmd13	0.999
Psmd12	Psmd13	0.999
Psmb2	Psmd13	0.999
Pdhb	AABR07026654.1	0.999
Mob1b	Lats1	0.999
Mrps16	Mrpl44	0.999
Tsr1	Ltv1	0.999
Calr	Pdia3	0.999
Exosc4	Exosc9	0.999
Exosc2	Exosc9	0.999
Exosc3	Exosc9	0.999
Atp5po	Atp5f1d	0.999
Atp5f1b	Atp5f1d	0.999
Gad1	Slc32a1	0.999
Lsm3	Lsm1	0.999
Il4	Il4r	0.999
Eif3m	Eif3f	0.999
Eif3l	Eif3f	0.999
Tcp1	Cct7	0.999
Cct4	Cct7	0.999
Cct5	Cct7	0.999
Cct8	Cct7	0.999
Cdk1	Ccna2	0.999
Mad2l1	Ccna2	0.999
Bub1b	Ccna2	0.999
Phf5a	Snrpd2	0.999
Snrpd1	Snrpd2	0.999
Snrpf	Snrpd2	0.999
Uqcrh	Uqcrc2	0.999
Polr2j	Polr2c	0.999
Polr2k	Polr2d	0.999
Polr2f	Polr2d	0.999
Polr2j	Polr2d	0.999
Daxx	Sumo1	0.999
Ift122	Ift140	0.999
Ndufs1	Ndufa10l1	0.999
Rpl26	Rps12	0.999
Rpl19	Rps12	0.999
Rpl15	Rps12	0.999
Rpl10a	Rps12	0.999
LOC100360057	Rps12	0.999
Rps3a	Rps12	0.999
LOC100911372	Rps12	0.999
Ntrk1	Ngf	0.999
Mcm3	Mcm2	0.999
Mcm6	Mcm2	0.999
Mcm7	Mcm2	0.999
Mcm4	Mcm2	0.999
Utp18	Utp15	0.999
Dcaf13	Utp15	0.999
Utp6	Utp15	0.999
Bms1	Utp15	0.999
Rps12	Rps23	0.999
Rps3a	Rps23	0.999
LOC100911372	Rps23	0.999
Pwp2	Nop58	0.999
Rrp9	Nop58	0.999
Timp2	Mmp2	0.999
Atp5f1b	Atp5f1a	0.999
Rps23	Rps27	0.999
Rps3a	Rps27	0.999
LOC100911372	Rps27	0.999
Rps12	Rps27	0.999
Rrp9	Imp3	0.999
Ndufb5	Ndufs8	0.999
Ndufa6	Ndufs8	0.999
Ndufb10	Ndufs8	0.999
Ndufs1	Ndufs8	0.999
Ndufv2	Ndufs8	0.999
Ndufs3	Ndufs8	0.999
Igf1	Igfbp5	0.999
Hmgcr	Hmgcs1	0.999
Gins1	Gins2	0.999
Leo1	Ctr9	0.999
Cdc73	Ctr9	0.999
Ndufa6	Ndufa2	0.999
Ndufb9	Ndufa2	0.999
Ndufb5	Ndufa2	0.999
Cog6	Cog4	0.999
Cog3	Cog4	0.999
Rps12	Rps3	0.999
Rps23	Rps3	0.999
Rps27	Rps3	0.999
Rps3a	Rps3	0.999
LOC100911372	Rps3	0.999
Vps29	Vps35	0.999
Ezh2	Eed	0.999
Etfa	Etfb	0.999
Nup107	Nup133	0.999
Nup85	Nup133	0.999
Tln1	Apbb1ip	0.999
Gins1	Gins4	0.999
Psmd6	Psmd1	0.999
Psmc2	Psmd1	0.999
Psmb2	Psmd1	0.999
Psmc1	Psmd1	0.999
Psmb5	Psmd1	0.999
Psmc3	Psmd1	0.999
Psmc5	Psmd1	0.999
Psmd13	Psmd1	0.999
Psmd12	Psmd1	0.999
Psma3l	Psmd1	0.999
Psmb1	Psmd1	0.999
Psma6	Psmd1	0.999
Psmd2	Psmd1	0.999
Psmc6	Psmd1	0.999
Psma4	Psmd1	0.999
Psmd7	Psmd1	0.999
Dctn2	Dctn5	0.999
Sumo1	Ube2i	0.999
Ndufs3	Ndufv1	0.999
Ndufs8	Ndufv1	0.999
Ndufs4	Ndufv1	0.999
Ndufs1	Ndufv1	0.999
Ndufv2	Ndufv1	0.999
Ndufb9	Ndufv1	0.999
Cyc1	Uqcrfs1	0.999
Uqcrh	Uqcrfs1	0.999
Uqcrc2	Uqcrfs1	0.999
LOC100911372	Rps15a	0.999
Rps23	Rps15a	0.999
Rpl10a	Rps15a	0.999
Rps3a	Rps15a	0.999
Rps12	Rps15a	0.999
Rps3	Rps15a	0.999
Rps27	Rps15a	0.999
Polr1a	Polr1b	0.999
Ren	Agt	0.999
Nup205	Nup93	0.999
Wdr12	Bop1	0.999
Exosc9	Exosc6	0.999
Exosc3	Exosc6	0.999
Exosc2	Exosc6	0.999
Hus1	Rad9a	0.999
Gosr2	Sec22b	0.999
Cdt1	Gmnn	0.999
Sec22b	Stx5	0.999
Ykt6	Stx5	0.999
Gosr2	Stx5	0.999
Bet1	Stx5	0.999
Eif3l	Eif3c	0.999
Eif3f	Eif3c	0.999
Psma4	Psmc4	0.999
Psmd13	Psmc4	0.999
Psmc5	Psmc4	0.999
Psmd6	Psmc4	0.999
Psma6	Psmc4	0.999
Psmb7	Psmc4	0.999
Psmc6	Psmc4	0.999
Psmd1	Psmc4	0.999
Psmd12	Psmc4	0.999
Psmc1	Psmc4	0.999
Psmc2	Psmc4	0.999
Psma3l	Psmc4	0.999
Psmc3	Psmc4	0.999
Psmb2	Psmc4	0.999
Psmb5	Psmc4	0.999
Psmb1	Psmc4	0.999
Psmd2	Psmc4	0.999
Psmd7	Psmc4	0.999
Polr2k	AABR07006025.1	0.999
Polr2f	AABR07006025.1	0.999
Polr2j	AABR07006025.1	0.999
Shh	Ptch1	0.999
Polr2j	Polr2g	0.999
Supt4h1	Polr2g	0.999
AABR07006025.1	Polr2g	0.999
Polr2k	Polr2g	0.999
Polr2f	Polr2g	0.999
Polr2d	Polr2g	0.999
Psmc2	Psmb6	0.999
Psmb2	Psmb6	0.999
Psmc5	Psmb6	0.999
Psma1	Psmb6	0.999
Psmc3	Psmb6	0.999
Psmb5	Psmb6	0.999
Psmb1	Psmb6	0.999
Psma6	Psmb6	0.999
Psmc6	Psmb6	0.999
Psmc4	Psmb6	0.999
Psma4	Psmb6	0.999
Psma3l	Psmb6	0.999
Etf1	Rps5	0.999
Rps27	Rps5	0.999
LOC100911372	Rps5	0.999
Rps12	Rps5	0.999
Eif2s1	Rps5	0.999
Rpl15	Rps5	0.999
Rps23	Rps5	0.999
Rps3	Rps5	0.999
Rps3a	Rps5	0.999
Rpl4	Rps5	0.999
Rpl29	Rps5	0.999
Rps15a	Rps5	0.999
Lsm3	Lsm7	0.999
Lsm7	Lsm4	0.999
Rps3a	Rps16	0.999
Rpl10a	Rps16	0.999
LOC100911372	Rps16	0.999
Rps23	Rps16	0.999
Rps12	Rps16	0.999
Rps5	Rps16	0.999
Rps3	Rps16	0.999
Cops4	Cops8	0.999
Smg8	Smg9	0.999
Mios	Wdr24	0.999
Exoc3	Exoc8	0.999
Pold2	Pold1	0.999
Bbs2	Bbs1	0.999
Psmc6	Psma5	0.999
Psmd6	Psma5	0.999
Psmc5	Psma5	0.999
Psmb1	Psma5	0.999
Psmd7	Psma5	0.999
Psmb5	Psma5	0.999
Psma3l	Psma5	0.999
Psma1	Psma5	0.999
Psmb7	Psma5	0.999
Psmd12	Psma5	0.999
Psmb6	Psma5	0.999
Psmd13	Psma5	0.999
Psmd1	Psma5	0.999
Psmd2	Psma5	0.999
Psmc1	Psma5	0.999
Psmb2	Psma5	0.999
Psmc4	Psma5	0.999
Psmc2	Psma5	0.999
Psmc3	Psma5	0.999
Psma6	Psma5	0.999
Psma4	Psma5	0.999
Rps12	Uba52	0.999
Rpl26	Uba52	0.999
Rpl18a	Uba52	0.999
Rpl24	Uba52	0.999
LOC100360057	Uba52	0.999
Rpl10a	Uba52	0.999
Rraga	Lamtor1	0.999
Plrg1	Cdc5l	0.999
Utp15	Utp4	0.999
Dcaf13	Utp4	0.999
Rrp9	Utp4	0.999
Utp18	Utp4	0.999
Pwp2	Utp4	0.999
Utp6	Utp4	0.999
Nop58	Utp4	0.999
Mrpl44	Mrpl23	0.999
Mrps16	Mrpl23	0.999
Mrpl23	Mrpl54	0.999
Atg14	Becn1	0.999
Epha2	Efna1	0.999
Psmd12	Psmd8	0.999
Psmd2	Psmd8	0.999
Psmd1	Psmd8	0.999
Psmb2	Psmd8	0.999
Psmc4	Psmd8	0.999
Psma5	Psmd8	0.999
Psmb6	Psmd8	0.999
Psmd13	Psmd8	0.999
Psmb5	Psmd8	0.999
Psmc2	Psmd8	0.999
Psmc1	Psmd8	0.999
Psmb1	Psmd8	0.999
Psmd6	Psmd8	0.999
Psmd7	Psmd8	0.999
Psma4	Psmd8	0.999
Psma6	Psmd8	0.999
Psmc3	Psmd8	0.999
Psma3l	Psmd8	0.999
Psmc5	Psmd8	0.999
Psmc6	Psmd8	0.999
Rps5	Eif3g	0.999
Eif2s1	Eif3g	0.999
Eif3c	Eif3g	0.999
Eif3m	Eif3g	0.999
Eif3f	Eif3g	0.999
Bckdhb	Bckdha	0.999
Mad2l1	Bub3	0.999
Exosc2	Exosc5	0.999
Exosc3	Exosc5	0.999
Exosc9	Exosc5	0.999
Grb2	Shc1	0.999
Rps12	Rpl27	0.999
Rps23	Rpl27	0.999
Rps5	Rpl27	0.999
Rpl19	Rpl27	0.999
LOC100360057	Rpl27	0.999
Rpl10a	Rpl27	0.999
Rpl26	Rpl27	0.999
Tbx5	Nkx2-5	0.999
Snrpd1	Snrnp70	0.999
Snrpf	Snrnp70	0.999
Snrpd2	Snrnp70	0.999
Cul4a	Ddb1	0.999
Nfe2l2	Keap1	0.999
Prim2	Pola2	0.999
Pola1	Pola2	0.999
Cdk6	Ccnd1	0.999
Psmd8	Psmb4	0.999
Psmc3	Psmb4	0.999
Psmd6	Psmb4	0.999
Psma5	Psmb4	0.999
Psma6	Psmb4	0.999
Psmb1	Psmb4	0.999
Psmd12	Psmb4	0.999
Psmb6	Psmb4	0.999
Psmb7	Psmb4	0.999
Psmc4	Psmb4	0.999
Psmc5	Psmb4	0.999
Psmc6	Psmb4	0.999
Psmd7	Psmb4	0.999
Psma3l	Psmb4	0.999
Psmd13	Psmb4	0.999
Psmd2	Psmb4	0.999
Psma4	Psmb4	0.999
Psmc2	Psmb4	0.999
Psmb5	Psmb4	0.999
Psma1	Psmb4	0.999
Psmb2	Psmb4	0.999
Psmd1	Psmb4	0.999
Vps53	Vps51	0.999
Vps52	Vps51	0.999
LOC100360057	Rpl18	0.999
Psmc4	Psmd4	0.999
Psmd8	Psmd4	0.999
Psmb5	Psmd4	0.999
Psmc6	Psmd4	0.999
Psma4	Psmd4	0.999
Psmb4	Psmd4	0.999
Psmc3	Psmd4	0.999
Psma6	Psmd4	0.999
Psmb2	Psmd4	0.999
Psmd6	Psmd4	0.999
Psmc2	Psmd4	0.999
Psmb7	Psmd4	0.999
Psmd12	Psmd4	0.999
Psmd7	Psmd4	0.999
Psmd13	Psmd4	0.999
Psma3l	Psmd4	0.999
Psma5	Psmd4	0.999
Psmd2	Psmd4	0.999
Psmb1	Psmd4	0.999
Psmb6	Psmd4	0.999
Psmc5	Psmd4	0.999
Psmc1	Psmd4	0.999
Psmd1	Psmd4	0.999
Sae1	Uba2	0.999
Txn1	Txnip	0.999
Snrpd1	Rbm8a	0.999
Snrpf	Rbm8a	0.999
Magoh	Rbm8a	0.999
Casc3	Rbm8a	0.999
Polr3a	Polr3c	0.999
Fen1	Pcna	0.999
Cct4	Cct2	0.999
Cct8	Cct2	0.999
Cct7	Cct2	0.999
Cct5	Cct2	0.999
Exosc3	Dis3	0.999
Exosc2	Dis3	0.999
Upf1	Upf3b	0.999
Smg5	Upf3b	0.999
LOC108348062	Eif3el1	0.999
Eif3f	Eif3el1	0.999
Eif2s1	Eif3el1	0.999
Eif3m	Eif3el1	0.999
Eif3c	Eif3el1	0.999
Eif3l	Eif3el1	0.999
Rps5	Eif3el1	0.999
Pdhb	Pdha1	0.999
Polr2d	Polr2b	0.999
Polr2g	Polr2b	0.999
Polr2j	Polr2b	0.999
Polr2k	Polr2b	0.999
Mtor	Rictor	0.999
Mlst8	Rictor	0.999
Uba52	Rpl31	0.999
LOC100360057	Rpl31	0.999
Rpl26	Rpl31	0.999
Sumo1	Senp1	0.999
Mcm3	Cdc6	0.999
Mcm4	Cdc6	0.999
Orc4	Cdc6	0.999
Mcm6	Cdc6	0.999
Cdt1	Cdc6	0.999
Orc1	Cdc6	0.999
Mcm2	Cdc6	0.999
Ccna2	Cdc6	0.999
Mcm7	Cdc6	0.999
Ccne1	Cdk2	0.999
Ccna2	Cdk2	0.999
Cdc6	Cdk2	0.999
Cdkn1a	Cdk2	0.999
Eif3c	Eif3d	0.999
Eif3el1	Eif3d	0.999
Eif3g	Eif3d	0.999
Eif3f	Eif3d	0.999
Eif3l	Eif3d	0.999
Pdhb	Dlat	0.999
Mapk1	Dusp6	0.999
Rps23	Rps25	0.999
Rps15a	Rps25	0.999
Rps5	Rps25	0.999
Rps27	Rps25	0.999
Atic	Gart	0.999
Ppat	Gart	0.999
Pfas	Gart	0.999
Rmi1	Rmi2	0.999
Lars1	Eprs	0.999
Iars1	Eprs	0.999
Utp4	Wdr43	0.999
Utp15	Wdr43	0.999
Cul1	Ube2m	0.999
Ndufa2	Ndufb7	0.999
Ndufa7	Ndufb7	0.999
Ndufb9	Ndufb7	0.999
Ndufb10	Ndufb7	0.999
Ndufv1	Ndufb7	0.999
Ndufv2	Ndufb7	0.999
Ndufs3	Ndufb7	0.999
Ndufs8	Ndufb7	0.999
Ndufa6	Ndufb7	0.999
Ndufa5	Ndufb7	0.999
Ndufb5	Ndufb7	0.999
Ndufb8	Ndufb7	0.999
Ndufs4	Ndufb7	0.999
Ccnd1	Cdk4	0.999
Ndufa2	Ndufb2	0.999
Ndufa6	Ndufb2	0.999
Hspa5	Hsp90b1	0.999
Lmo2	Tal1	0.999
Sec62	Sec63	0.999
Rps12	Rps15	0.999
Rps3a	Rps15	0.999
Rps5	Rps15	0.999
Rps15a	Rps15	0.999
Rps16	Rps15	0.999
Rps27	Rps15	0.999
LOC100911372	Rps15	0.999
Gclm	Gclc	0.999
Orc4	Orc6	0.999
Nup107	Nup160	0.999
Rpl26	Rpl23a	0.999
Rpl19	Rpl23a	0.999
Nrp1	Sema3a	0.999
Rpl26	Rpl5	0.999
Rps5	Rps13	0.999
Fancb	Fancl	0.999
Fance	Fancf	0.999
Fancl	Fancf	0.999
Ndufb2	Ndufb6	0.999
Ndufa5	Ndufb6	0.999
Ndufs8	Ndufb6	0.999
Ndufa6	Ndufb6	0.999
Ndufs3	Ndufb6	0.999
Ndufa12	Ndufb6	0.999
Ndufb10	Ndufb6	0.999
Ndufb9	Ndufb6	0.999
Ndufc2	Ndufb6	0.999
Ndufb5	Ndufb6	0.999
Ndufb8	Ndufb6	0.999
Ndufb7	Ndufb6	0.999
Ndufv2	Ndufb6	0.999
Rpl27	Rpl11	0.999
Rps12	Rpl11	0.999
Rpl24	Rpl11	0.999
Rpl26	Rpl11	0.999
Rpl19	Rpl11	0.999
Rps5	Rpl11	0.999
Rpl15	Rpl11	0.999
Uba52	Rpl11	0.999
Rpl18	Rpl11	0.999
LOC100360057	Rpl11	0.999
Rpl10a	Rpl11	0.999
Ndufb10	Ndufs7	0.999
Ndufs1	Ndufs7	0.999
Ndufs4	Ndufs7	0.999
Ndufv1	Ndufs7	0.999
Ndufv2	Ndufs7	0.999
Ndufb8	Ndufs7	0.999
Ndufa5	Ndufs7	0.999
Ndufa6	Ndufs7	0.999
Ndufs3	Ndufs7	0.999
Ndufb7	Ndufs7	0.999
Ndufs8	Ndufs7	0.999
Vamp4	Stx6	0.999
Cdk1	Cdc20	0.999
Bub3	Cdc20	0.999
Mad2l1	Cdc20	0.999
Plk1	Cdc20	0.999
Fbxo5	Cdc20	0.999
Nek2	Cdc20	0.999
Ccna2	Cdc20	0.999
Pttg1	Cdc20	0.999
Cdc27	Cdc20	0.999
Ube2c	Cdc20	0.999
Bub1b	Cdc20	0.999
Psmc2	Psmd3	0.999
Psmb2	Psmd3	0.999
Psmd7	Psmd3	0.999
Psmb1	Psmd3	0.999
Psma4	Psmd3	0.999
Psmd13	Psmd3	0.999
Psmc5	Psmd3	0.999
Psmd6	Psmd3	0.999
Psma3l	Psmd3	0.999
Psmc4	Psmd3	0.999
Psmc3	Psmd3	0.999
Psmd8	Psmd3	0.999
Psmd4	Psmd3	0.999
Psmd12	Psmd3	0.999
Psma6	Psmd3	0.999
Psmc6	Psmd3	0.999
Psmd1	Psmd3	0.999
Psmd2	Psmd3	0.999
Psma5	Psmd3	0.999
Psmc1	Psmd3	0.999
Hadhb	Hadha	0.999
Mtor	Akt1	0.999
Foxo3	Akt1	0.999
AC098008.1	Bcl2l11	0.999
Cdk7	Ccnh	0.999
Lsm3	Snrpb	0.999
Rbm8a	Snrpb	0.999
Sf3b1	Snrpb	0.999
Snrpc	Snrpb	0.999
Snrpf	Snrpb	0.999
Snrnp70	Snrpb	0.999
Snrpd1	Snrpb	0.999
Derl1	Vcp	0.999
Snap25	Stx1a	0.999
Stxbp1	Stx1a	0.999
Atp5po	Atp5mg	0.999
Atp5me	Atp5mg	0.999
Brca2	Palb2	0.999
Apbb1	App	0.999
Irs1	Ptpn11	0.999
Bub3	Bub1	0.999
Mad2l1	Bub1	0.999
Ndc80	Bub1	0.999
Cdk1	Bub1	0.999
Cdc20	Bub1	0.999
Crebbp	Hif1a	0.999
Nup205	Nup155	0.999
Nup107	Nup155	0.999
Nup93	Nup155	0.999
Lmo2	Ldb1	0.999
Mcm3	Orc2	0.999
Orc5	Orc2	0.999
Mt-nd4l	Mt-nd4	0.999
Mt-nd3	Mt-nd4	0.999
Bcl2l11	Bcl2l1	0.999
Mt-nd4	Mt-nd2	0.999
Mt-nd3	Mt-nd2	0.999
Mt-nd4l	Mt-nd2	0.999
Ptk2b	Pxn	0.999
Bcar1	Pxn	0.999
Vcl	Pxn	0.999
Ptk2	Pxn	0.999
Rad21	Stag2	0.999
Utp4	Wdr75	0.999
Dcaf13	Wdr75	0.999
Utp15	Wdr75	0.999
Snf8	Vps25	0.999
Vps36	Vps25	0.999
Mt-nd3	Mt-nd5	0.999
Uqcrfs1	Uqcrc1	0.999
Cyc1	Uqcrc1	0.999
Rps5	Rps29	0.999
Ntf4	Ntrk2	0.999
Mt-nd3	Mt-nd6	0.999
Mt-nd4	Mt-nd6	0.999
Mt-nd2	Mt-nd6	0.999
Mt-nd5	Mt-nd6	0.999
Nuf2	Spc24	0.999
Cdc42	Pak1	0.999
Mrpl47	Mrpl4	0.999
Irf9	Stat2	0.999
Mt-co1	Mt-co2	0.999
Aurkb	Incenp	0.999
